#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
379416:9517,04/14/24 17:34:18,195,195,0.042223999,0.039665176
379420:9518,04/14/24 21:02:55,516,516,0.112159104,0.105915354
379425:9519,04/15/24 02:03:52,203,203,0.038950014,0.036662559
379433:9520,04/15/24 05:13:11,21,21,0.001445962,0.001317406
379442:9521,04/15/24 07:07:46,269,269,0.056124393,0.052826824
379454:9523,04/15/24 11:25:22,498,498,0.108599939,0.098761520
379456:9523,04/15/24 14:47:09,1199,1199,0.213867768,0.200930037
379470:9525,04/16/24 00:38:26,794,794,0.176689134,0.166290707
379530:9530,04/17/24 01:12:13,593,593,0.191940700,0.179354912
379613:9537,04/18/24 03:20:17,120,120,0.031984748,0.030215392
379617:9537,04/18/24 04:23:35,664,664,0.225950277,0.212173331
379618:9537,04/18/24 08:43:50,360,360,0.102654407,0.098876336
379660:9539,04/18/24 16:49:04,1507,1507,0.436403975,0.420688731
379661:9539,04/19/24 02:37:20,406,406,0.080810141,0.079727835
379729:9543,04/19/24 17:38:45,1465,1465,0.460166083,0.446076940
379765:9548,04/20/24 14:03:25,1695,1695,0.557740932,0.529987228
379774:9549,04/21/24 03:13:58,157,157,0.052104114,0.049674628
379866:9559,04/23/24 20:37:55,1347,1347,0.282317013,0.274846900
379984:9562,04/25/24 11:47:58,913,913,0.239496848,0.232848100
380001:9564,04/25/24 20:39:17,691,691,0.240209574,0.231830483
380005:9565,04/26/24 03:10:19,1062,1062,0.368833019,0.353536384
380007:9565,04/26/24 10:12:08,129,129,0.037005951,0.035178888
380029:9566,04/26/24 15:02:20,55,55,0.011268058,0.010387435
380030:9566,04/26/24 15:37:30,346,346,0.146323394,0.138848435
380032:9566,04/26/24 19:11:02,19,19,0.007326713,0.006891669
380033:9566,04/26/24 19:21:25,53,53,0.020904664,0.019948303
380043:9567,04/26/24 22:44:31,900,900,0.360928718,0.343330821
380049:9568,04/27/24 07:10:37,871,871,0.354756046,0.334706934
380051:9568,04/27/24 12:55:48,735,735,0.226861352,0.218611685
380052:9568,04/27/24 17:45:43,12,12,0.003076304,0.002876220
380053:9568,04/27/24 17:57:47,128,128,0.031645991,0.030658378
380056:9568,04/27/24 18:55:05,168,168,0.037300450,0.035874233
380066:9569,04/27/24 22:17:19,552,552,0.221529184,0.210832262
380074:9570,04/28/24 06:24:04,1306,1306,0.488723049,0.467767458
380115:9573,04/29/24 09:42:28,1792,1792,0.634849067,0.610061044
380126:9574,04/29/24 23:29:59,952,952,0.407526323,0.381420662
380127:9574,04/30/24 05:43:19,535,535,0.175591301,0.169911028
380128:9574,04/30/24 09:15:04,387,387,0.102805180,0.100188861
380195:9575,04/30/24 23:30:14,7,7,0.003203024,0.002943249
380197:9575,05/01/24 00:09:50,357,357,0.164309292,0.155412686
380235:9579,05/01/24 17:29:48,256,256,0.102251889,0.095800937
380236:9579,05/01/24 19:12:09,57,57,0.026240772,0.023446994
380238:9579,05/01/24 20:06:47,25,25,0.011461516,0.010656638
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#26,43,24317,24317,7.596560380,7.247961606

Warning: problems found in merging -i and --normtag selections:
  in run 379774 [[28, 149], [151, 186]] is not a superset of [[29, 213]]
  in run 379866 [[25, 1372]] is not a superset of [[26, 1375]]
#Check JSON:
#(run,ls) in json but not in results: []
