#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
380306:9585,05/02/24 19:54:33,246,246,0.098996363,0.091637427
380308:9585,05/02/24 21:44:38,35,35,0.016105719,0.013512556
380309:9585,05/02/24 22:01:23,351,351,0.161127170,0.149907124
380310:9585,05/03/24 00:19:19,1131,1131,0.382648453,0.369739147
380346:9593,05/03/24 16:31:34,566,566,0.242352693,0.227595311
380348:9593,05/03/24 20:21:15,341,341,0.137391317,0.130333030
380349:9593,05/03/24 22:39:04,695,695,0.212080206,0.205558384
380360:9594,05/04/24 06:56:16,1928,1928,0.680871385,0.655327190
380377:9602,05/04/24 23:50:36,420,420,0.179815128,0.170021948
380384:9603,05/05/24 06:57:47,751,751,0.328775268,0.311374383
380385:9603,05/05/24 11:54:10,1247,1247,0.395580991,0.381880031
380399:9604,05/05/24 23:17:17,494,494,0.208244994,0.198066744
380403:9604,05/06/24 03:21:24,251,251,0.106418496,0.101433755
380444:9605,05/06/24 15:21:13,325,325,0.144634331,0.134492556
380446:9605,05/06/24 17:33:05,1026,1026,0.409602811,0.392297458
380447:9605,05/07/24 00:20:05,810,810,0.208137319,0.203316370
380466:9606,05/07/24 09:21:16,477,477,0.206076563,0.191375864
380470:9606,05/07/24 13:06:34,1634,1634,0.523962227,0.508126600
380481:9608,05/08/24 05:37:58,860,860,0.375790031,0.354526675
380513:9609,05/08/24 20:35:34,1158,1158,0.488104718,0.463659292
380517:9609,05/09/24 04:20:58,39,39,0.013272158,0.012564357
380531:9610,05/09/24 07:02:24,1024,1023,0.438943747,0.412963000
380534:9610,05/09/24 13:56:20,746,746,0.226270285,0.219694281
380537:9610,05/09/24 19:09:12,58,58,0.014321158,0.013808230
380538:9610,05/09/24 19:36:56,144,144,0.032444749,0.031779333
380564:9611,05/09/24 23:47:54,742,742,0.326378483,0.308264514
380567:9611,05/10/24 04:54:24,1081,1081,0.341134205,0.331445292
380623:9614,05/11/24 20:40:52,388,388,0.164093400,0.154038705
380624:9614,05/11/24 23:16:57,809,809,0.329971193,0.314444173
380625:9614,05/12/24 04:34:00,7,7,0.002301493,0.002141493
380626:9614,05/12/24 04:39:38,14,14,0.004557204,0.004222548
380627:9614,05/12/24 04:48:42,808,808,0.218495979,0.213490065
380647:9618,05/12/24 22:28:59,375,375,0.163991139,0.148849042
380649:9618,05/13/24 01:56:15,401,401,0.168912668,0.159359458
380933:9651,05/19/24 16:19:32,773,773,0.012026086,0.011886862
380945:9653,05/20/24 06:39:35,245,245,0.100661698,0.094984174
380947:9653,05/20/24 11:38:49,823,823,0.264397583,0.256442339
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#16,37,23223,23222,8.328889409,7.944559709
#Check JSON:
#(run,ls) in json but not in results: []
