#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
380963:9654,05/20/24 20:42:43,922,922,0.371882883,0.354684763
381022:9659,05/21/24 23:53:15,586,586,0.214167437,0.202525362
381053:9661,05/22/24 09:14:55,108,108,0.033847071,0.032355940
381065:9662,05/22/24 12:16:48,791,791,0.350896167,0.328507047
381067:9662,05/22/24 17:33:10,313,313,0.123700702,0.118852968
381069:9662,05/22/24 20:20:02,307,307,0.098575098,0.093564541
381070:9662,05/22/24 22:21:18,425,425,0.115851656,0.113297764
381075:9663,05/23/24 03:44:42,426,426,0.184056378,0.173486014
381078:9663,05/23/24 06:53:58,334,334,0.144260754,0.134776654
381079:9663,05/23/24 09:06:56,396,396,0.139029667,0.132526351
381080:9663,05/23/24 11:44:26,336,336,0.098391363,0.094322214
381113:9664,05/23/24 18:23:22,238,234,0.094072637,0.087983609
381114:9664,05/23/24 20:11:10,458,458,0.210547463,0.196903116
381115:9664,05/23/24 23:12:32,1294,1294,0.407971763,0.395036440
381147:9666,05/24/24 11:18:29,186,186,0.075376924,0.070591424
381148:9666,05/24/24 12:38:03,264,264,0.124192747,0.116128225
381149:9666,05/24/24 14:31:15,133,133,0.062432824,0.058211305
381150:9666,05/24/24 15:25:36,42,41,0.019167148,0.017518065
381151:9666,05/24/24 15:45:18,851,851,0.305241806,0.290881692
381152:9666,05/24/24 21:19:14,193,193,0.052703735,0.051063315
381164:9667,05/25/24 00:51:30,1151,1151,0.518979491,0.485292849
381190:9670,05/25/24 13:16:44,1098,1098,0.493326905,0.461764142
381191:9670,05/25/24 20:25:58,1121,1121,0.335609512,0.325475207
381199:9672,05/26/24 09:25:18,150,150,0.056764611,0.052696453
381212:9674,05/27/24 04:02:15,372,372,0.167162649,0.156737286
381286:9677,05/27/24 16:09:15,711,711,0.325922761,0.301259101
381309:9680,05/28/24 06:47:14,425,425,0.192311089,0.180774982
381358:9683,05/28/24 18:58:02,3,3,0.000643621,0.000455269
381364:9684,05/28/24 21:34:05,382,382,0.166766207,0.155763654
381365:9684,05/29/24 00:22:44,595,595,0.272032982,0.254549629
381371:9686,05/29/24 06:46:06,194,194,0.079068585,0.074841393
381379:9687,05/29/24 10:50:00,833,833,0.375679298,0.350270414
381380:9687,05/29/24 16:17:34,1354,1354,0.411026631,0.398051423
381384:9691,05/30/24 05:24:04,3482,3482,1.047219727,1.003791187
381417:9694,05/31/24 13:50:23,1788,1788,0.713134575,0.675451268
381443:9696,06/01/24 12:16:15,1517,1517,0.620722355,0.587004433
381477:9700,06/02/24 11:50:04,278,278,0.116849585,0.110046666
381479:9700,06/02/24 13:58:03,434,434,0.204504526,0.191926418
381480:9700,06/02/24 16:48:38,1268,1268,0.419249073,0.403416463
381484:9701,06/03/24 03:15:04,820,820,0.374195444,0.349895653
381499:9705,06/03/24 16:18:24,196,195,0.079129243,0.073385101
381500:9705,06/03/24 17:37:39,92,92,0.043431846,0.039486604
381515:9707,06/03/24 22:01:00,514,514,0.232288512,0.213977058
381516:9707,06/04/24 01:22:53,1672,1672,0.584339399,0.556022778
381543:9708,06/04/24 14:37:55,512,512,0.235680806,0.221277706
381544:9708,06/04/24 18:12:43,1970,1970,0.638592833,0.614665462
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#25,46,31535,31529,11.930998489,11.301495410

Warning: problems found in merging -i and --normtag selections:
  in run 381113 [[59, 211], [220, 337]] is not a superset of [[60, 305]]
  in run 381309 [[31, 456]] is not a superset of [[32, 457]]
  in run 381417 [[34, 1822]] is not a superset of [[35, 1824]]
  in run 381443 [[31, 1550]] is not a superset of [[33, 1118], [1120, 1571]]
#Check JSON:
#(run,ls) in json but not in results: []
