#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
382229:9806,06/20/24 09:39:20,313,313,0.024005971,0.022671261
382250:9808,06/20/24 16:24:45,890,890,0.224867350,0.215259687
382255:9810,06/21/24 04:47:31,97,97,0.030850582,0.028324787
382256:9810,06/21/24 05:26:51,67,67,0.031184020,0.027662524
382257:9810,06/21/24 06:11:04,70,70,0.032581297,0.029028122
382258:9810,06/21/24 06:41:16,1148,1147,0.500480884,0.479563173
382262:9810,06/21/24 14:31:56,253,253,0.079528721,0.076706921
382298:9812,06/21/24 19:39:36,53,53,0.014819054,0.014301652
382299:9812,06/21/24 20:38:11,808,808,0.385782161,0.356402352
382300:9812,06/22/24 01:55:26,1186,1186,0.383863057,0.371886154
382313:9813,06/22/24 11:50:52,389,389,0.174823068,0.166462369
382314:9813,06/22/24 14:26:01,295,295,0.141770816,0.134388475
382328:9816,06/22/24 22:38:19,90,90,0.034044938,0.031049599
382329:9816,06/22/24 23:16:38,150,150,0.072058046,0.067790752
382343:9819,06/23/24 13:01:16,2208,2208,0.987462989,0.930649443
382344:9819,06/24/24 03:22:08,355,355,0.129242766,0.124753402
382504:9832,06/27/24 14:22:09,349,349,0.152199034,0.144103336
382568:9838,06/28/24 23:55:16,406,406,0.180278708,0.169846637
382580:9840,06/29/24 07:43:50,1711,1711,0.715948133,0.682358278
382594:9842,06/30/24 02:29:05,1406,1406,0.621031853,0.591226943
382595:9842,06/30/24 11:37:12,854,854,0.256700683,0.248816036
382617:9843,06/30/24 19:33:03,701,701,0.305486275,0.291525750
382626:9846,07/01/24 07:24:48,359,359,0.161094620,0.151890989
382649:9848,07/01/24 14:36:50,482,482,0.217554376,0.198646374
382650:9848,07/01/24 17:47:17,234,234,0.113407987,0.107561022
382654:9849,07/01/24 21:54:59,1641,1641,0.744738253,0.700965484
382655:9849,07/02/24 08:36:08,394,394,0.127167076,0.122715377
382656:9849,07/02/24 11:12:31,294,294,0.079482821,0.076842128
382679:9851,07/02/24 21:51:44,71,71,0.020696545,0.020178979
382684:9852,07/03/24 00:51:55,1164,1164,0.545621758,0.510844963
382685:9852,07/03/24 08:26:34,483,482,0.180507624,0.173266445
382686:9852,07/03/24 11:40:25,141,141,0.043916510,0.042603430
382725:9857,07/03/24 21:33:58,369,369,0.164112535,0.154024645
382729:9859,07/04/24 06:43:25,55,55,0.015824445,0.014847128
382730:9859,07/04/24 07:13:29,52,52,0.023610874,0.021894200
382750:9860,07/04/24 11:35:32,530,530,0.248290502,0.231928138
382752:9860,07/04/24 15:08:42,709,709,0.332578266,0.315012442
382769:9861,07/05/24 00:19:42,1522,1522,0.662622106,0.627108419
382770:9861,07/05/24 10:19:22,586,586,0.165081857,0.160030453
382791:9862,07/05/24 17:32:53,105,105,0.031593998,0.029852900
382792:9862,07/05/24 18:18:12,80,80,0.038603059,0.030994191
382794:9862,07/05/24 18:54:44,14,14,0.006763113,0.005171174
382795:9862,07/05/24 19:03:19,468,468,0.226278097,0.212466295
382799:9864,07/06/24 01:44:41,615,615,0.275874634,0.259567856
382810:9865,07/06/24 09:09:34,70,70,0.018759648,0.017842507
382811:9865,07/06/24 09:42:19,396,396,0.191173862,0.178714387
382830:9867,07/06/24 23:56:53,75,75,0.023055023,0.022208021
382834:9869,07/07/24 04:03:04,763,763,0.352518652,0.329700642
