#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
385836:10122,09/16/24 18:09:49,133,133,0.055084961,0.051838928
385842:10122,09/16/24 20:25:56,1958,1957,0.823998471,0.775502440
385863:10123,09/17/24 11:30:08,18,18,0.003415166,0.003182061
385882:10125,09/17/24 16:05:07,103,103,0.040211168,0.037882408
385887:10125,09/17/24 17:28:59,2,2,0.000956552,0.000670514
385888:10125,09/17/24 17:32:38,168,168,0.079325788,0.074568446
385889:10125,09/17/24 19:03:22,1637,1637,0.704342270,0.662574877
385908:10126,09/18/24 07:53:51,857,857,0.398309020,0.371630683
385915:10126,09/18/24 13:31:00,626,626,0.291886965,0.271180004
385933:10127,09/18/24 20:18:21,171,171,0.072312528,0.066001787
385934:10127,09/18/24 21:29:03,1229,1229,0.574259322,0.535336734
385986:10130,09/19/24 22:32:34,1995,1995,0.881769812,0.822547044
386006:10132,09/20/24 16:00:56,17,17,0.006286953,0.005508777
386008:10132,09/20/24 16:13:06,49,49,0.023038497,0.018711462
386010:10132,09/20/24 16:39:00,902,902,0.427030157,0.399767101
386025:10134,09/21/24 03:26:38,1858,1858,0.839464545,0.786410766
386279:10139,09/25/24 19:45:30,213,213,0.090608984,0.085630688
386285:10141,09/26/24 05:07:10,206,206,0.088821029,0.077891053
386308:10142,09/26/24 10:25:39,144,144,0.060664512,0.057026501
386313:10143,09/26/24 13:48:04,85,85,0.032404883,0.030763649
386319:10144,09/26/24 16:26:23,702,702,0.321985863,0.304880021
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#13,21,13073,13072,5.816177448,5.439505945
#Check JSON:
#(run,ls) in json but not in results: []
