#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
386478:10189,10/02/24 05:25:34,405,405,0.177307836,0.169060565
386505:10190,10/02/24 16:45:21,285,285,0.122307017,0.113142112
386509:10190,10/02/24 18:48:15,1032,1032,0.472553810,0.444940939
386553:10197,10/03/24 15:18:13,857,857,0.406073500,0.379080452
386554:10197,10/03/24 20:54:36,1005,1005,0.433192989,0.412413916
386592:10199,10/04/24 12:52:01,414,414,0.190561857,0.177865691
386593:10199,10/04/24 15:46:38,652,652,0.318274968,0.298663817
386594:10199,10/04/24 20:20:35,871,871,0.353906963,0.335072421
386604:10200,10/05/24 08:06:58,2002,2002,0.898405294,0.839477314
386605:10200,10/05/24 21:08:51,155,155,0.046244965,0.044711541
386614:10201,10/06/24 00:32:57,754,754,0.359024653,0.331437857
386615:10201,10/06/24 05:27:39,37,37,0.018022474,0.015984860
386616:10201,10/06/24 05:44:36,127,127,0.062064131,0.057227736
386617:10201,10/06/24 06:35:53,70,70,0.034196587,0.031707794
386618:10201,10/06/24 07:04:34,952,952,0.396845955,0.377383279
386629:10202,10/06/24 15:27:34,65,65,0.020315053,0.018559629
386630:10202,10/06/24 15:54:10,28,28,0.012779570,0.011608964
386640:10204,10/06/24 20:23:38,1161,1161,0.557072910,0.515849448
386642:10204,10/07/24 03:59:03,716,716,0.288644757,0.272393792
386661:10206,10/07/24 11:24:15,438,438,0.205469221,0.184320143
386668:10207,10/07/24 16:23:23,347,347,0.159575259,0.146234707
386672:10208,10/07/24 21:18:35,130,130,0.054559194,0.048535323
386673:10208,10/07/24 22:10:35,992,992,0.485013610,0.451952726
386679:10209,10/08/24 07:20:42,357,357,0.165919776,0.150953569
386693:10210,10/08/24 12:02:10,125,125,0.052288413,0.048488196
386694:10210,10/08/24 13:09:16,1319,1319,0.632541483,0.589415301
386702:10211,10/08/24 23:56:26,218,218,0.097274006,0.089946919
386703:10211,10/09/24 01:23:07,488,488,0.238333177,0.219819743
386704:10211,10/09/24 05:35:06,994,994,0.430846476,0.405837669
386705:10211,10/09/24 12:42:44,138,138,0.040804124,0.039047361
386764:10214,10/10/24 06:50:06,149,149,0.041368285,0.038799821
386795:10215,10/10/24 14:28:43,88,88,0.034444416,0.031951638
386801:10216,10/10/24 18:07:18,80,80,0.029899542,0.027152562
386814:10216,10/10/24 20:18:57,250,250,0.121924589,0.113816232
386851:10218,10/12/24 00:34:13,401,401,0.187264580,0.166200066
386852:10218,10/12/24 03:12:23,487,487,0.237535614,0.220571265
386853:10218,10/12/24 06:53:56,42,42,0.020512859,0.019249623
386854:10218,10/12/24 07:12:26,539,539,0.248046353,0.233102235
386863:10219,10/12/24 13:24:38,480,480,0.225406178,0.204703467
386864:10219,10/12/24 16:34:00,1491,1491,0.656834108,0.613288731
386872:10222,10/13/24 09:29:30,171,171,0.074273735,0.069331898
386873:10222,10/13/24 10:39:03,332,332,0.162098703,0.150748664
386885:10223,10/13/24 19:45:43,1368,1368,0.651333051,0.602317337
386917:10225,10/14/24 19:44:49,555,555,0.261517793,0.241078886
386924:10226,10/15/24 03:42:42,1783,1783,0.819281735,0.756947361
386925:10226,10/15/24 15:21:33,172,172,0.058402181,0.056197455
386945:10230,10/15/24 23:13:33,814,814,0.389133673,0.358957759
386951:10232,10/16/24 06:45:06,661,661,0.312982569,0.291935880
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#25,48,26997,26997,12.262679996,11.417484664
#Check JSON:
#(run,ls) in json but not in results: []
